sentence,sentiment,lang
"La confiance des consommateurs dans la zone euro s'est améliorée en mars 2025, indiquant une perspective plus optimiste des ménages.",1,fr
Das Verbrauchervertrauen in der Eurozone verbesserte sich im März 2025 und deutet auf eine optimistischere Sicht der Haushalte hin.,1,de
Las acciones europeas cayeron a un mínimo de 16 meses debido a los temores de una guerra comercial global.,2,es
Les actions européennes ont chuté à un plus bas de 16 mois en raison des craintes d'une guerre commerciale mondiale.,2,fr
Europäische Aktien fielen auf ein 16-Monats-Tief aufgrund von Befürchtungen eines globalen Handelskriegs.,2,de
"El índice bancario europeo cayó un 4,8%, entrando en territorio bajista por temor a una recesión inducida por aranceles.",2,es
"L'indice bancaire européen a chuté de 4,8%, entrant en territoire baissier par crainte d'une récession induite par les tarifs.",2,fr
"Der europäische Bankenindex fiel um 4,8% und geriet aufgrund von Rezessionsängsten durch Zölle in einen Bärenmarkt.",2,de
"El crecimiento del PIB de la eurozona se proyecta en un 0,9% para 2025, reflejando una desaceleración económica.",2,es
"La croissance du PIB de la zone euro est projetée à 0,9% pour 2025, reflétant un ralentissement économique.",2,fr
"Das BIP-Wachstum der Eurozone wird für 2025 auf 0,9% prognostiziert, was eine wirtschaftliche Verlangsamung widerspiegelt.",2,de
"El índice STOXX 600 cayó un 5,8%, continuando su racha de pérdidas debido a las tensiones comerciales.",2,es
"L'indice STOXX 600 a chuté de 5,8%, poursuivant sa série de pertes en raison des tensions commerciales.",2,fr
"Der STOXX 600 Index fiel um 5,8% und setzte seine Verlustserie aufgrund der Handelskonflikte fort.",2,de
"El rendimiento de los bonos alemanes a 10 años cayó al 0,25% en medio de la incertidumbre del mercado.",2,es
"Le rendement des obligations allemandes à 10 ans est tombé à 0,25% en raison de l'incertitude du marché.",2,fr
"Die Rendite der 10-jährigen deutschen Anleihen fiel auf 0,25% aufgrund der Marktunsicherheit.",2,de
La confianza del inversor en la eurozona cayó a su nivel más bajo en más de un año debido a los aranceles de EE.UU.,2,es
La confiance des investisseurs dans la zone euro est tombée à son niveau le plus bas depuis plus d'un an en raison des tarifs américains.,2,fr
Das Investorenvertrauen in der Eurozone fiel auf den niedrigsten Stand seit über einem Jahr aufgrund der US-Zölle.,2,de
Las acciones de defensa europeas registraron su mayor caída diaria desde abril de 2020 debido a preocupaciones sobre una recesión global.,2,es
Les actions de la défense européenne ont enregistré leur plus forte baisse quotidienne depuis avril 2020 en raison des craintes d'une récession mondiale.,2,fr
Europäische Verteidigungsaktien verzeichneten ihren größten Tagesrückgang seit April 2020 aufgrund von Befürchtungen einer globalen Rezession.,2,de
"El índice de volatilidad de la eurozona alcanzó su nivel más alto desde agosto, reflejando la creciente incertidumbre del mercado.",2,es
"L'indice de volatilité de la zone euro a atteint son niveau le plus élevé depuis août, reflétant l'incertitude croissante du marché.",2,fr
"Der Volatilitätsindex der Eurozone erreichte den höchsten Stand seit August, was die zunehmende Marktunsicherheit widerspiegelt.",2,de
Las acciones europeas confirmaron una corrección después de caer más del 10% desde su máximo histórico debido a las preocupaciones arancelarias.,2,es
Les actions européennes ont confirmé une correction après avoir chuté de plus de 10% depuis leur record historique en raison des préoccupations tarifaires.,2,fr
"Europäische Aktien bestätigten eine Korrektur, nachdem sie aufgrund von Zollbedenken um mehr als 10% von ihrem Allzeithoch gefallen waren.",2,de
Los bancos europeos extendieron sus pérdidas en medio de una venta masiva provocada por los aranceles de EE.UU.,2,es
Les banques européennes ont prolongé leurs pertes au milieu d'une vente massive provoquée par les tarifs américains.,2,fr
Europäische Banken verlängerten ihre Verluste inmitten eines durch US-Zölle ausgelösten Ausverkaufs.,2,de
"El índice de confianza económica de la eurozona cayó a -19,5 en abril, su nivel más bajo desde octubre de 2023.",2,es
"L'indice de confiance économique de la zone euro est tombé à -19,5 en avril, son niveau le plus bas depuis octobre 2023.",2,fr
